he desayunado y despues un poco de ejercicio,en abril aguas mil
he hecho la comida,en abril aguas mil
he trabajado en mi proyecto,en abril aguas mil
he trabajado en mi proyecto,mas vale pajaro en mano que ciento volando
he limpiado la casa,en abril aguas mil
he estado limpiando la casa,en abril aguas mil
he leido un libro,en abril aguas mil
he ido a la oficina a firmar unos papeles,en abril aguas mil
he ido a la farmacia por medicamentos,en abril aguas mil
he comprado en el supermercado,en abril aguas mil
he leido varios libros interesantes,en abril aguas mil
he salido a dar un paseo por el parque,en abril aguas mil
he trabajado en mi proyecto,en abril aguas mil
he leido las noticias y luego limpiar la casa,en abril aguas mil
he limpiado la casa,no por mucho madrugar amanece mas temprano
he trabajado con el ordenador,en abril aguas mil
he estado trabajando en mi proyecto,en abril aguas mil
he comido paella y un poleo,arrieros somos y por el camino nos encontraremos
he visto una pelicula de ciencia ficcion,en abril aguas mil
he salido a dar un paseo,en abril aguas mil
he estado trabajando en mi proyecto,en abril aguas mil
he estado limpiando la casa,en abril aguas mil
he salido a hacer ejercicio y despues a comprar libros,en abril aguas mil
he ido a la oficina,en abril aguas mil
he estado leyendo un libro,en abril aguas mil
he estado trabajando en mi proyecto,en abril aguas mil
he trabajado en mi proyecto,en abril aguas mil
he ido a la oficina,mas vale pajaro en mano que ciento volando
he comprado en el supermercado,en abril aguas mil
he ido a comprar al supermercado,no se
me he ido de compras al supermercado,en abril aguas mil
nada,abril
he ido a comprar al supermercado,en abril aguas mil
he limpiado la casa,si en marzo mayea en mayo marcea
un examen de frances,mas vale prevenir
he hecho un examen de frances,al que buen arbol
